"country","pop2022"
"Indonesia","275501.3390"
"Japan","123951.6920"
"Philippines","115559.0090"
"United Kingdom","67508.9360"
"Madagascar","29611.7140"
"Australia","26177.4130"
"Taiwan","23893.3940"
"Sri Lanka","21832.1430"
"Haiti","11584.9960"
"Dominican Republic","11228.8210"
"Cuba","11212.1910"
"Papua New Guinea","10142.6190"
"Singapore","5975.6890"
"New Zealand","5185.2880"
"Ireland","5023.1090"
"Jamaica","2827.3770"
"Trinidad and Tobago","1531.0440"
"Bahrain","1472.2330"
"Timor-Leste","1341.2960"
"Mauritius","1299.4690"
"Cyprus","1251.4880"
"Fiji","929.7660"
"Comoros","836.7740"
"Solomon Islands","724.2730"
"Cape Verde","593.1490"
"Malta","533.2860"
"Maldives","523.7870"
"Brunei","449.0020"
"Bahamas","409.9840"
"Iceland","372.8990"
"Vanuatu","326.7400"
"Barbados","281.6350"
"Sao Tome and Principe","227.3800"
"Samoa","222.3820"
"Saint Lucia","179.8570"
"Kiribati","131.2320"
"Grenada","125.4380"
"Micronesia","114.1640"
"Seychelles","107.1180"
"Tonga","106.8580"
"Saint Vincent and the Grenadines","103.9480"
"Antigua and Barbuda","93.7630"
"Dominica","72.7370"
"Saint Kitts and Nevis","47.6570"
"Marshall Islands","41.5690"
"Palau","18.0550"
"Nauru","12.6680"
"Tuvalu","11.3120"
