"country","pop2022"
"Ethiopia","123379.9240"
"Uganda","47249.5850"
"Afghanistan","41128.7710"
"Uzbekistan","34627.6520"
"Nepal","30547.5800"
"Niger","26207.9770"
"Burkina Faso","22673.7620"
"Mali","22593.5900"
"Malawi","20405.3170"
"Zambia","20017.6750"
"Kazakhstan","19397.9980"
"Chad","17723.3150"
"Zimbabwe","16320.5370"
"Rwanda","13776.6980"
"Burundi","12889.5760"
"Bolivia","12224.1100"
"South Sudan","10913.1640"
"Czech Republic","10493.9860"
"Azerbaijan","10358.0740"
"Hungary","9967.3080"
"Tajikistan","9952.7870"
"Belarus","9534.9540"
"Austria","8939.6170"
"Switzerland","8740.4720"
"Laos","7529.4750"
"Serbia","7221.3650"
"Paraguay","6780.7440"
"Kyrgyzstan","6630.6230"
"Turkmenistan","6430.7700"
"Slovakia","5643.4530"
"Central African Republic","5579.1440"
"Mongolia","3398.3660"
"Moldova","3272.9960"
"Armenia","2780.4690"
"Botswana","2630.2960"
"Lesotho","2305.8250"
"Eswatini","1201.6700"
"Bhutan","782.4550"
"Luxembourg","647.5990"
"Andorra","79.8240"
"Liechtenstein","39.3270"
"San Marino","33.6600"
"Vatican City","0.5100"
